game,comment,username,confidence
Elden Ring,"Déçu qu'il n'y ait aucun jeux digne de ce nom sur les dernières générations de consoles, un jeu qui aurait du s'appeler Dark Souls 4 avec 4 ou 5 boss sympas sur les 20 rencontrés, pas la révolution tant promis depuis des mois donc ma déception est à la hauteur de mes attentes. Juste un Dark Souls sans amélioration technique et des mobs à l'IA risibles comme pour tenter d'attirer le grand public mort de faim de n'avoir rien à se mettre sous la dent sur la ps5.",jinos,HIGH
Elden Ring,"Optimisation mauvaise parfois t'as juste à passer sous une porte et tu prend un ralentissement monstre avec une accélération qui suit.
La caméra est vraiment médiocre ça nuit profondément à l'expérience et à l'immersion qu'on peut avoir dans le jeu notamment quand tu tournes autour des ennemis.
Graphismes laborieux dépassé depuis au moins 5 ans on me dira que c'est pas le point fort des souls mais bon impossible de pas en parler certaines textures c'est du jpeg.Pas de trame principale intéressante concrètement on a un open world ou t'as quelques rare interaction on aurait pu avoir la même sans OW c'était pareil. L'aspect ou le joueur va ou il veut c'est bien mais à part quelques donjons et trois truc caché ici et là rendent fade l'exploration qui finalement aboutit à rien, l'intérêt étant de basher des mob et up son stuff juste pour dégommer des boss, Rien n'est vraiment très bon dans ce jeu à par la DA si on vire les problèmes techniques et la BO mais pour moi il y a vraiment trop de points noir pour la version pc, si le niveau d'exigences de console est bien plus bas sur pc dès qu'il y a une imperfection elle saute aux yeux je comprend pas non plus l'overdose de recyclage des précédents opus à croire qu'ils vendent leurs jeux 20€.Certaines animations j'en parlerais pas tellement j'ai ris de nervosité.
Fin bref portage pc exécrable ( les mecs sont même pas capable de mettre les touches pc dans les menus d’interaction sans déconner c'est quoi cette fainéantise nauséabonde )
Il est temps que la presse arrête ses conneries et qu'on dise non à des jeux qui sont pas fini et dont la moitié provient des précédent à peine amélioré.
Un 0 pointé pour le foutage de gueule, cependant en 2018 le jeu aurait sans doute eu un 14 (hors soucis techniques).",Suleyman[JV],HIGH
Elden Ring,"Jeu juste nul, le pire jeu de tous les temps, les bonnes notes sont une nouvelle fois incompréhensibles !
Jeu trop difficile, à quoi bon jouer si ce n'est pas pour s'amuser ?? 
le jeu est horrible graphiquement, aucune histoire, un open world vide et sans saveur.
0 car que des défauts :
Le gameplay ressemble trop à celui de Dark Souls 3
Pas de monture en multijoueur, ni de touche dédiée pour l&#039;invoquer
Un peu trop de recyclage, surtout pour les mini-donjons et les boss annexes
Quelques musiques d&#039;ambiance peu inspirées
Une caméra et le verrouillage qui font toujours n&#039;importe quoi sur les gros ennemis
Techniquement perfectible mais comme le jeu est déjà mauvis de base, dur a perfectionner",ayanenyotengu,HIGH
Elden Ring,"Pour équilibré un les notes.... Décidément ce début d'année est loin d'être joyeux, j'attendais elden ring comme le messi. Il n'en est rien....
Sans parler des bug, lag, et multiple problème qui entache le jeu dans sont intégralité.
Le jeu n'est qu'une pâle copie de ses prédécesseurs avec le fun en moin, open World vide et sans saveur, combat et animation réchauffer et DA dans les choux... Simplement une déception",jackyrabbit,HIGH
Elden Ring,"Manque total de respect pour les joueurs PC :
- Pas de support 21/9
- cap 60fps
- si vous jouez clavier souris, accrochez vous, pas mal de touches non rebindable, non indiquées
- framerate complètement instable (entre 5 et 60 avec RTX3080)
- HDR en pls
- distance d'affichage et pop d'ennemis ridicule
Et j'en passe..
Bref impossible d'apprécier le jeu dans cet état, note négative, remboursement.",Skaravageur,HIGH
Elden Ring,"Optimisation immonde a croire que les mecs ont eu 1 an pour pondre le jeu, les ennemis qui apparaissent devant toi comme par magie et je parle même pas des mob que tu entends sans pouvoir les voir, le jeu a subit un downgrade immonde, c'est un copié collé de tous leurs jeux, y'a rien qui change, la da est sympa mais l'ow est balourd, le jeu a plusieurs années de retard un bon jeu surcoté a mort n'en déplaise aux fan de fs",Aspirinoh,HIGH
Elden Ring,"Vide monde ouvert mort qui ne sert à rien un faux Dark Souls 4 qui croit faire la révolution. Techniquement dépassé rigide lourd, difficulté revue à la baisse pour tenter de plaire au grand public, attaque dans le dos, roulades, patience, alterner coup rapide et puissant selon le type d'adversaire et le tour est joué. Beaucoup de bruit pour rien donc ma déception est à la hauteur de mes attentes, le jeux avait été décrit comme RPG il n'en ai rien, aucune interactions avec quelconques PNG aucunes villes scénario inexistant.",jinos,HIGH
Gran Turismo 7,"Comment est-ce possible ? Un jeu qui devait tout avoir pour plaire !Un côté RPG à l'ancienne allié à la capacité de la console dernière génération !On sent l'amour de la voiture des développeurs à chaque minute, quel dommage de gâcher ça avec l'amour de l'argent, probablement ajouté de force par les développeurs à cause d'une hiérarchie définitivement peu au courant de comment marche le monde du jeu vidéo.Un jeu vendu 80€, bourré de micro-transactions aux prix plus que prohibitifs (qui va dépenser 120€ dans une voiture sur un jeu qui coûte déjà aussi cher ??!). Et quand les joueurs râlent puis trouvent des alternatives, on les sanctionne en baissant les récompenses !Les récompenses parlons-en, chaque jour on gagne un ""ticket de loterie"". Ne comptez pas trop sur votre bonne étoile, les dés sont pipés. regardez-bien le plus petit lot que vous pourrez avoir avec ledit ticket: c'est celui que vous aurez 95% du temps. Cette statistique n'est pas une extrapolation. Graphiquement nous sommes loin, très loin de ce que peut fournir la console.
Le côté RPG n'a rien à voir avec les anciens jeux, ici nous avons des missions qui nous disent quelle course faire, quelle voiture gagner, et bien sûr impossible d'y couper : les courses se débloquent au fur et à mesure des missions Tiens les voitures, justement, j'y viens. On a un système de ""points de collection"" dès qu'on en débloque une. Ce système ne débloque quasiment rien. C'est juste la belle trouvaille qu'a eu PD pour nous empêcher de revendre les véhicules.
Eh oui, il ne faudrait pas que les joueurs se fassent trop d'argent en revendant les deux chevaux pourries et autres véhicules inutiles.Le système de préparation de voiture est plutôt bien fait, quel dommage que les pièces coûtent si cher à acheter en comparaison de ce qu'on gagne en course...Parlons un peu du gameplay à présent.
On démarre toujours avec 30 secondes de retard, en bout de file, et on doit remonter des IA qui jouent comme si on était pas là. ""Oui mais il y a une mise à jour qui arrive"" -> J'ai payé mon jeu, je le veux complet, et vu comment on se fout de notre gueule en permanence ce n'est pas comme si je pouvais passer outre cet énorme problème.
Ce n'est même pas de la course, soit on a un véhicule assez puissant (ou un minimum préparé si vous avez de l'argent mais je vous garantie que l'argent étant difficile à avoir vous allez très peu en faire) et on remonte tout le peloton sans problème, soit on a une voiture trop peu puissante et vous aurez beau être le meilleur pilote du monde, jamais vous n'arriverez à gagner votre course.Il y a également des aides pour les mauvais pilotes, des aides à n'en plus finir à tel point que les premières minutes de jeu j'avais l'impression de ne pas jouer moi-même. On nous dit ou aller, quand freiner, et si on ne le fait pas le jeu le fait à notre place  (Entres autres), j'ai évidemment tout désactivé et on roule bien mieux d'ailleurs.Les permis ne présentent aucune difficulté à moins de viser l'or sur certaines épreuves, ce qui n'a en soit aucun intérêt si ce n'est la joie d'avoir fait les permis en or. Ceci dit même en or on est pas sur la même difficulté que dans les anciens opus (comme mon pseudo).Tiens, au fait, j'espère que vous avez une connexion internet en permanence, sinon vous ne pourrez tout simplement pas jouer au jeu, pourtant largement solo.Récapitulons :
- RPG inexistant, trop directif
- Voitures et préparations hors de prix pour ce qu'on gagne, d'ailleurs je ne vais même pas zyeuter du côté de l'endroit où on achète les voitures, je sais que c'est trop cher pour moi.
- Tickets de lotterie pipés et gains de courses misérables
- Impossibilité de revendre des voitures
- Graphiquement pas au top
- Gameplay sans aide très correct
- Peu de difficulté en général dans le jeu
- IA aux fraises
- Courses toujours de type ""remonter le peloton""
- Connexion permanente requise
- Micro-transactions dans un jeu payé plein pot et expressément réfléchi pour être frustrant, qui plus est à un tarif monstrueux (750.000 crédits = 10€, on nous sort des voitures temporaires pour forcer les gens à se dépêcher de les acheter, des voitures à 18M de crédits parfois : 240€ la voiture virtuelle, ça vous tente ?)
- PD qui punit les joueurs qui tentent de brasser un peu d'argent en patchant les gains de course, c'est un manque de respect pur et simple. A un tel point que la boîte mérite de couler, ni plus ni moins.Petit bonus ici :   ""Avec le retour du légendaire mode de simulation GT, vous pouvez acheter, préparer, concourir et vendre vos voitures dans la campagne solo tout en débloquant de nouveaux véhicules et défis.""- Description mensongère en prime.",GranTurismoIV,HIGH
Gran Turismo 7,"Ne l'achetez surtout pas
80€ pour un jeu impossible à jouer sans connexion internet, des mises à jours qui baissent les récompenses pour pousser à faire marcher la CB, un mode solo qui consiste en des courses de deux tours, pas de qualification, rien.
Ceci n'est pas un jeu, c'est une arnaque absolument pas cachées. On nous prends pour des pigeons au maximum. 0 et je demande un remboursement.",Lepouvanteur275,HIGH
Gran Turismo 7,"Bon certain diront que je force mais il est tout bonnement scandaleux de voir un jeu avec un grind aussi dégueulasse sortir en l'état, et surtout se permettre de patcher a postériori dans le but de flinguer les quelques courses qui étaient les plus rentable. C'est d'autant plus dommage que le jeu n'était pas si mal en dehors de ça mais entre la maj 1.06 qui vous met de pneu classique pour les défis permis de rallye et cette 1.07 qui fait planter les serveur et rend le jeu injouable (en plus d'amplifier le grind), on s'est bien fait avoir, en espérant que ces idées ne contamine pas les autre licence de sony car c'est vraiment lamentable. En attendant 0 car d'un jeu sony  a 80€ j'attend quand même mieux qu'un ridicule pay to fast",adarion,HIGH
