game,comment,username,confidence
Elden Ring,"Putain mais quelle purge ce truc. Technique d'un autre âge, nullité scénaristique absolue. Quelques rares quêtes qui n'ont aucun sens qui se battent en duel. Lourdeur incroyable des fights, on a l'impression de manier un sumo. A des années lumières du gameplay nerveux et super agréable d'un Returnal ou Horizon pour citer des jeux récents. Mention spéciale au perso qui fait le mouvement pour boire une potion pendant 10s même quand il en a plus. On se croirait en présence d'un jeu de 2002, pratiquement aucun des acquis en terme de gameplay de ces 20 derniers années n'a été intégré dans ce truc.
Le jeu est ultra punitif, et ce ne serait pas un problème s'il était agréable à parcourir et motivant, mais à chaque mort je me demande pourquoi je referai un try. Pourquoi j'ai payé 55 euros pour une telle bouse et pourquoi j'ai perdu 20h de ma vie alors que dans les 10 premières secondes de jeu j'avais compris.
Cet engouement unanime des critiques est parfaitement incompréhensible. On pourrait faire le parallèle avec le jury du festival de Cannes qui se branle la nouille sur des films tous plus pourris les uns que les autres.
Les fan boys de from software adoreront, c'est le même jeu qui leur est servi depuis 15 ans, mais l'énorme majorité des joueurs detestera cet étron qui s'adresse à une niche ultra minoritaire.
Je mets 1 point pour la direction artistique.",Bhaalor,LOW
Elden Ring,"Déçu n'est pas le mot, c'est une abérration. A mes yeux ce n'est pas ce a quoi un open world doit ressembler, j'espère que FS se remettra à faire des souls et nioh sans essayer de nouveaux genres, psk entre le recyclage de boss, les quêtes afk, ""l'histoire"" qui part en couille y'a rien qui va",LeValideur,LOW
Elden Ring,"Déçu qu'il n'y ait aucun jeux digne de ce nom sur les dernières générations de consoles, un jeu qui aurait du s'appeler Dark Souls 4 avec 4 ou 5 boss sympas sur les 20 rencontrés, pas la révolution tant promis depuis des mois donc ma déception est à la hauteur de mes attentes. Juste un Dark Souls sans amélioration technique et des mobs à l'IA risibles comme pour tenter d'attirer le grand public mort de faim de n'avoir rien à se mettre sous la dent sur la ps5.",jinos,LOW
Elden Ring,"Impossible de mettre une bonne note à un jeu qui permet que lorsque tu es lvl 11 et tu jours avec un pote lvl 7 tu passes TOUT TON TEMPS, TOUTES LES 2MINS à te faire envahir par des mecs lvl 59 + ou max lvl donc impossible de jouer. Tant qu'il n'y aura pas de possibilité de ne se faire envahir que par des gens de ton niveau (ou même de le couper) cela restera un vraiment un jeu de NAZE",Antarrio,LOW
Elden Ring,"Mon avis a été supprimé plusieurs fois, sûrement afin de faire remonter la note Un jeu dans un état d'optimisation aussi médiocre sur PC ne mérite pas 18/20, réveillez-vous",22-02-2022,LOW
Elden Ring,"Optimisation désastreuse sur PC.
Désolé mais quand on dézingue un jeu comme cyberpunk sur ce critère on se doit de faire la même chose pour tous les jeux.
Un zéro bien mérité, sortie beaucoup trop tôt.",G_E74,LOW
Elden Ring,"Un jeu qui n'est même pas lançable sans utiliser des méthodes détournées en désactivant l'anti-cheat (quel interet pour un jeu solo en prime?)
Aucun support du 21:9
Bloqué a 60fps mais n'est même pas foutu de les maintenir
Techniquement à la ramasse, c'est vraiment vilainLe principe même d'un jeu est de fonctionner, mais apparemment c'est trop compliqué de simplement tester son jeu avant de le diffuser. Même Cyberpunk était moins dégueulasse à sa sortie.Un zéro pointé, la note changera (peut être) quand je pourrai y jouer convenablement.",pinacolado50,LOW
Elden Ring,"tout simplement une honte...
un dark soul 4 eco+
c'est moche
buggé
c'est une pale copie
on est en 2022 ou 1990?
a fuir
ca ne vaut pas le goty , horizon est largement meilleur",doudou6925,LOW
Elden Ring,"Souvent, quand on parle de direction artistique, c'est pour masquer une pauvreté technique. Ok sur Switch, ok sur des jeux indés, mais sur des jeux censés être ""AAA"" ... sans parler de l'optimisation ... t'achète un jeu 60 balles et tu dois attendre le retour des joueurs pour sortir des patchs correctifs qui vont faire plusieurs Go ...
je suis d'accord pour qu'on donne des notes en fonction de la dev du jeu, des restrictions techniques, par exemple une très bonne note sur un jeu indé, ok, mais là ...
On ne peut pas dire que le jeu soit moche, mais c'est quoi cette végétation de 2012 ? même Guild Wars 2 fait aussi bien ...",MissPicardie,LOW
Elden Ring,"Un jeu qui est injouable à sa sortie.
Je veux bien venant de 80% de l'industrie mais là...là
J'ai supporté pour Dying Light mais on est au dessus de ce stade pour Elden Ring. Le stuttering est game breaker, tout bonnement.",therealmaster,LOW
Elden Ring,"Encore un jeu surcoté avant sa sortie par un studio qui se repose sur ses acquis, recyclage à la pelle d'animation/texture faux coop et fausse difficulté en bref un jeu décevant mentions spéciale à l'opti claquée au sol et les bugs par miliersA prendre à 20€ pas plus",Mangemondeck,LOW
