,game,comment,username,confidence
0,Elden Ring,"Le jeu de l’année, même peut être un des titres majeurs de la décennie selon moi, même si seul l’avenir nous le dira. En même temps, je crois bien que from soft est le seul studio qui ne m’a jamais déçu.Si vous aimez le souls, vous allez adorer. On retrouve le même gameplay exigeant qui a fait la force de la série avec des combats de boss dantesques ! Les commandes répondent toujours aussi bien (clavier souris pour ma part), et les combats sont plus skill que dans DS3, je trouve tout en étant plus nerveux que DS1 ou 2. Un peu de recyclage d’ennemi des anciens opus dans l’open world, mais des boss totalement originaux avec des affrontements très travaillés et c’est tout ce qui compte.L’open world est correct, même si je ne suis pas le plus grand fan du genre. Vu que from soft est au commande, comme vous vous en doutez, il y’a pleins de petits secrets à droite à gauche pour qui ouvrira le bon œil. La liberté dans la progression est de ce fait bien plus importante que dans les souls, ce qui est vraiment jouissif. Graphiquement c’est correct. Après perso je n’ai jamais compris le délire avec les graphismes, donc je suis pas spécialement difficile. Pour moi si les jeux vidéos avaient arrêté d’évoluer graphiquement au niveau de skyrim vanilla, ça me poserait pas de problèmes. Je ne suis pas pour la surenchère, et je trouve que la DA est le plus important. Ici elle est excellente, et le niveau de détails pourrait de toute manière impacter la fluidité ce qui ne serait pas bon pour un jeu au gameplay si exigeant.Niveau scenar du classique, des infos disséminées ci et là, à nous de recoller les morceaux. C’est peut être moins erratique que dans les souls ceci dit. Et ce que j’aime c’est qu’ils ont réussi à créer un univers absolument unique et original, tout en restant dans le cadre « souls » qu’on aime tant (avec les feux, les âmes, la gardienne du feu etc…).Petit bémol sur la version pc : il y’a des drops fps plus ou moins importants dans l’open world à certains points précis de la map et ce même avec une bonne config (notamment au niveau du premier boss optionnel que l’on rencontre des qu’on sort du tuto, du coup ça la fout mal). Nul doute que ce sera patché petit à petit, et ça ne gêne pas outre mesure étant donné que ça n’arrive que sur des points précis (certainement des zones de chargement invisibles entre des blocs de map). Sinon c’est très fluide rien à dire.J’ai déjà 25h de jeu, et j’ai l’impression de n’avoir effleurer que la surface de tout ce que le jeu peut proposer.En conclusion, si vous êtes déjà conquis par le studio foncez, aucune chance d’être déçu. C’est au moins aussi bien qu’un souls, après à vous de juger si vous préférez ce style ou non, les deux points de vue s’entendent et peuvent s’argumenter. Si en revanche ER est votre premier from soft, regardez peut être du gameplay avant d’acheter, car vous pourriez tout autant détester qu’avoir le coup de foudre.",Zekin,HIGH
1,Elden Ring,"Tout d'abord je tiens à préciser que je ne joue pas sur PC. Le jeu est a la hauteur de mes attentes : Grandiose. Je trouve ça dommage qu'il se fasse descendre à cause de ces problèmes techniques sur PC, j'espère que from software va vite corriger le tir pour que tout le monde puisse profiter dans les meilleures conditions de cette pépite car le jeu ne mérite pas ces notes.",Jorox23,HIGH
2,Elden Ring,"Aucun soucis sur pc malgré une carte graphique en dessous des configurations minimales.(radeon rx 570)
Sinon le reste du jeu c'est  une masterclass  de From Software comme on en a l'habitude même points positifs.",teteldgris,HIGH
3,Elden Ring,50 h de jeu j'ai même pas fait les 3/4 du jeu. Et ça après avoir vaincu un seul demi dieu par contre plein de boss . Faut arrêter de délirer avc les 17 ou 18 voir au dessous.. le jeu est hallucinant. Tellement de choix possibles. Sinon oui il ya un peu de recyclage sur les enenmis. Mais perso je m en fiche ils ont tellement d enenmis différents sur tous leurs jeux on peut bien arrêter de dénigrer ce détail. Après.. son seul défaut c est que ce monde libre bah du coup il est mais tellement plus facile. C est ça qui est dommage. Mais le jeu est vraiment immense.et je suis sur que beaucoup de testeurs n ont pas pu tout voir . Impossible de finir ce jeu en 60 h. Faut être passé à côté de tellement de boss et de régions encore.,Yoshimitsu9,HIGH
4,Elden Ring,"70h de jeu. Pas fini. Génialissime. 20/20 juste car je trouve honteux que Horizon 2 et sa carte bourrée d'icônes et son open world gps prenne 19/20 alors que Elden Ring, qui ECRASE même BotW, prenne seulement 18.En même temps, on est sur un site qui met 18 à BF2042 après un essai réalisé chez le développeur... Tout est dit.",mercurexi,HIGH
5,Horizon : Forbidden West,"Quelle Claque !
Guerrilla qui régale enncore une fois et qui montre a la concurrence comment on fait un open world, (cc Halo ).
Ce Horizon 2 est exceptionnel en tout point.Et comme fallait s’y attendre, beaucoup de rageux qui n’ont même pas la console viennent mettre des 0, des 2 etc pathétique",Maximouce,HIGH
6,Dying Light 2 : Stay Human,Je mets la note de 20 tout simplement pour remonter la note du jeu qui est vraiment pas mal ! Le début est certes un peu chiant... mais plus on avance dans l'histoire plus ça devient vraiment intéressant !,telka93,HIGH
7,Dying Light 2 : Stay Human,"Je me suis régalé. Il est magnifique (sur PS5 en mode performance), y'a le gameplay repris de tout les derniers jeux qu'on fait l'histoire, (Zelda BOTW, assassin's creed, the witcher 3, cyberpunk, far cry et j'en oublis....La seul chose qui me déçois c'est les vibrations. J'ai fini le mode histoire et j'ai pas l'impression d'avoir vécu quoi que ce soit avec le retour haptique que j'ai senti comme absent. J'ai même vérifier si j'avais pas enlevé dans les options de la console ou du jeu mais non tout  était bien coché et le plus puissant possible. Pour ça j'ai pas compris... Mais tout le reste c'est génial.",ren06800,HIGH
8,Dying Light 2 : Stay Human,"Je mets la note de 20 tout simplement pour relever la note du jeu, qui est vraiment pas mal. Passé le début un peu chiant, on s'amuse vraiment quand on débloque des compétences et l'histoire s'étoffe au fur et à mesure. Un bon jeu !",telka93,HIGH
9,FIFA 22,"Visiblement quand on parle de Ea, le mot objectivité est oublié par beaucoup de gamers...
Mais on a eu un exemple comparable avec le bashing de Star wars battlefront 2, ou TLOU2...
La faute à quoi ? la philosophie des lootbox qui deplait, je le comprends... Mais est ce que ça justifie des notes médiocres ? non, d'ailleurs suite au retrait des lootbox Battlefront2 est passé de 2 à 17/20... Complètement débile car l'ossature du jeu reste la même, le même gameplay, les mêmes graphismes etc ...
Fifa22 est dans cette ligne, car on peut déplorer fut, mais le reste est bien amélioré cet année, même le gameplay et pourtant les gens pleurent !
8 matchs sur 10 se finissent sur des 2-1 / 3-1 / 2-0 en mode saison ou entre potes. ( fut c'est à fuir ) .
Bref des scores crédibles, tout comme le jeu cette année!
La vraie note est 18/20 sur ps4 et 19/20 sur ps5
( oui oui vous lisez bien )
Ceux qui ont appreciés pes5, pes 2018, fifa12, fifa17 comprendront mon enthousiasme",Donnell13,HIGH
