game,comment,username,confidence
Elden Ring,"D'habitude je rédige de longs avis détaillés mais pour Elden Ring, si je le fais, j'en aurai pour des heures tellement j'ai d'éloges à lui faire. Parce que je ne sais vraiment pas quoi lui reprocher, il n'y a rien qui me déplait au point que j'en parle. Je ne manque pas d'objectivité, je suis seulement conquis par ce jeu, totalement conquis. Peut-être le recyclage d'assets qui peut gêner ? Même pas, avec toutes les qualités que ce jeu possède je ne peux pas me fâcher par rapport à ça. Les graphismes ? Le peaufinage des textures peut laisser à désirer surtout quand on compare le jeu à d'autres titres prestigieux en terme graphique mais il ne reste pas moins magnifique. Les décors sont somptueux, c'est lumineux, chaque zone à sa propre ambiance...Étant un bon connaisseur des jeux FS, Elden Ring est à mes yeux le Dark Souls dont j'ai toujours rêvé, le Dark Souls de mes fantasmes... D'ailleurs je me demande si les développeurs n'étaient pas ramollis quand ils ont créé Dark Souls 3 ou s'ils ont pété les plombs en créant Elden Ring. Car ce jeu est à des années-lumière de DS3. Il est tellement riche, complet et sa DA tellement impressionnante. C'en est insolant. L'open world est démentiel, extrêmement vaste et varié, les builds possibles battent à plate couture tout ce qu'offraient ceux des trois Dark Souls. Entre cette possibilité de changer la compétence / weapon art de notre arme et la tonne de sorts qui sont bluffants ne serait-ce que visuellement... on est gâtés ! Même les plus beaux plans connus comme Anor Londo ou Irithyll ne sont rien comparés à ce qu'on voit dans Elden Ring. Et ce dès le début.Bref, j'suis un fou et je lui mets 20/20. La dernière fois que j'ai été autant excité par un jeu c'était pour RDR2 qui passe à présent en coup de coeur numéro 2 de ma liste. Sauf que lui, il avait ses défauts gênants et je ne lui ai pas mis cette note. Mais pas Elden Ring qui la mérite, ce jeu est un vrai bijou, une perfection, bref, j'vous ai déjà dit qu'il m'avait conquis ?",Dark-Saul,HIGH
Elden Ring,"C'est un chef-d'oeuvre.Beaucoup le compareront à Zelda BotW et à ses illustres ancestres, et pourtant Elden Ring arrive quand même à proposer quelque chose d'unique et d'inégalé à ce jour. Le monde est immense mais surtout, il est dense et extrêmement bien construit. En plus de la route qui mène vers la prochaine étape de l'histoire, le jeu permet de s'éparpiller dans tous les sens et récompense cette exploration avec des endroits magnifiques, du stuff supplémentaire et des boss optionnels. Chaque zone est unique et aucune n'est dénué de point d'intérêt, certains plus ou moins caché ou renfermant des secrets plus ou moins important, allant de la mine qui offre le matériel pour upgrade ses armes au dongeon souterrain secret qui renferme plusieurs boss et ennemis unique. On nous propose donc un plaisir singulier à découvrir le monde et un plaisir tres ""dark soulsien"" à progresser dans un dongeon à l'ancienne, feu de camp par feu de camp, maîtriser chaque ennemis et débloquer des raccourcis jusqu'à atteindre le rideau de brouillard derrière lequel se cache le boss.Graphiquement parlant, il est vrai qu'on est pas exactement au niveau des cannons du genre, mais le jeu s'en sort honorablement, notamment grâce à une direction artistique et une composition environnementale magnifiques. Les performances peuvent être et seront améliorées, mais en l'état l'expérience PS5 n'est en aucun cas ternie par ce point.Le gameplay présente des évolutions itératives par rapport à Dark Souls 3, je pense à l'ajout du saut, des attaques sautées, du contre après un blocage au bouclier ou encore des Ash of War qui ajoute des attaques uniques à vos armes. C'est sans mentionner toute la partie à cheval, un vrai plaisir à utiliser pour parcourir le monde d'elden ring.""Il relève techniquement plus d'un jeu PS4 que d'un jeu PS5"". C'est la seule critique que je peux faire au jeu en toute objectivité. Il est maitrisé de bout en bout, son open world est fabuleux, son gameplay est jouissif, ses boss sont nombreux et mémorables, sa musique est épique, bref c'est le magnum opus de fromSoft.",FeykroLeRetour,HIGH
Elden Ring,"Si on pouvait mettre au dessus de 20/20 je le ferai
Franchement ce jeu est un chef d’œuvre, après c’est sûr il faut aimer les from softwares
Pour moi c’est comme un Tarantino , soit on déteste , soit on adore
Je suis à 25h de jeux et il y a toujours un truc à faire ou à découvrir
On peut jouer avec un pote et pourtant ne pas avoir suivit le même cheminement
Pour moi c’est le goty des goty",yvic33,HIGH
Elden Ring,"20/20 sur ps5 pour remonter un peu la note des avis désastreux, ce jeux va clairement marquer l’industrie du jeux video, en bien et même en très bien.Bravo Idetaka Miyazaki et merci de nous permettre d’avoir des perles tel que Elden ring.Nous vivons a la bonne époque ce jeux est une ode a l’aventure et aux mystères.
Le gameplay c’est clairement ce qu’on kiff tous dans les souls donc rien a dire sur sa
Petit bémols niveau graphisme et framerate c’est dommage le jeux aurait pu être parfait
J’ai vraiment aimé et je ne pense pas qu’un jeux de cette grandeur va venir de si tôt.",madjz,HIGH
Elden Ring,"Oui, la nôte peut sembler excessive, comme c'est le cas pour la plupart, mais il s'agit bien d'un 20 sérieux.
J'ai à ce jour 135 heure sur le jeu et terminé l'histoire, et je peux donc le dire. Elden ring est bien la quintessance des Souls, mais c'est aussi encore plus.
C'est une leçon, je dirais même une humiliation que le jeu propose face aux boîtes de développement qui produisent des open world minables depuis plus de 10 ans (Farcry, AC, j'en passe).
La démesure titanesque du monde de l'entre-terre est du jamais vu, et restera du jamais vu pendant des années, voir des décénnies, je me le suis même dit parfois, c'est un peu trop grand. C'est rare de se dire que c'est TROP grand. Le contenu et les objets sont infinis. Il y'a un renouveau du multiplayer avec une coopération à mots de passe pour joeur et faire l'aventure avec ses amis. techniquement on arrive à atteindre la qualité de texture d'un uncharted 4 dans un open world et les gens oublient que dans un open world, cela relève de l'exploit.
j'ai battu le boss final au bout de 125 heures de jeu, un record personnel pour une trame principale dans un jv (même si j'ai quasiment tout exploré ce qui rallonge la durée de vie).
156 boss c'est absolument colossal, ainsi que des boss majeures mythiques. Malenia est facilement le boss le plus difficile que les Souls aient pu connaitre. Placidusax, Astel, Rykard, Radhan, le boss final et j'en passe.
Ce jeu est un chef d'oeuvre, une oeuvre d'art grace à son contenu, sa direction artistique, le lore de Georges R.R Martin.. tout ceci éclipse les quelques baisse de framerate par moment qui ont été encore réduits par le patch.. il n'y a presque rien à jeter. C'est de loin le meilleur jeu auquel j'ai joué de ma vie. Une légende, un 20/20, le seul aussi légitime. Elden Ring, Merci !",Ersqg,HIGH
Elden Ring,"Tout d'abord précision importante: le jeu a été patché sur PC, les problèmes d'opti ne sont plus aussi présents qu'avant, il y a clairment une énorme différence avec les MàJ récentes. La sortie a été honteuse, il est plus que normal de pester contre ça car c'est inadmissible. Je suis le premier à ""rager"" et m'offusquer de ça. Hélas FS sont ni les premiers ni les derniers dans la catégorie ""foutage de gueule"".. C'est légion sur 80% des jeux qui sortent sur PC malheureusement.. et ce depuis toujours. Bref ! Désormais ça appartient au passé et il faut rendre hommage à ce fantastique jeu qui ne mérite de façon objective que des éloges.Je viens de le finir à l'instant. 160H, je pense avoir tout fait.Quel jeu.. Mais quel jeu.. Des surprises et des émerveillement de bout en bout. J'ai jamais pris autant de plaisir dans une aventure comme celle là. Clairement l'après Elden Ring va être dur pour ce qui est des autres productions du genre. Le jeu est infini, regorge de secrets, de possibilités et de variétés dans ses ambiances et son univers qui sont retranscrits avec un direction artistique exceptionnelle. Tout est extraordinaire, il n'y a vraiment rien à jeter   Bien sûr les recyclages sur tout le côté annexe du jeu peut un peu gaver à la longue, mais bon en vrai tu peux les skip ou jouer avec les possibilités que te donne le jeu pour les écraser et en faire une formalité. En tout cas je préfère avoir ça en bonus que non. Le jeu réussit suffisamment à être varié dans tous les autres aspects principaux qu'au final osef. Le jeu n'est pas non plus parfait sur tout. C'est vrai que techniquement c'est ""daté"". Mais là encore la DA fait tout le taff. Daté ou non, ca ne m'a pas empêché de me dire 450x durant ma partie ""wow c'est magnifique"". Petit soucis d'équilibrage également, mais bon là encore difficile de savoir quoi faire concrètement. Ca fait bizarre par moment de rouler sur des boss dans un jeu From Software, mais bon rassurez vous, il y a bel et bien énormément de challenge si vous le désirez. La variété et la richesse du jeu font qu'on peut l'aborder de plein de façon différente, tout le monde y trouvera son compte.Un jeu à faire, ce n'est pas ""facile"" mais tout le monde peut y arriver en tout cas. Surtout ne vous arrêtez pas à des préjugés biaisés, ce serait trop dommage de passer à côté d'une oeuvre comme celle là, encore plus si vous kiffer les jv. Bon maitenant NG+ ou reroll depuis le départ sur un tout nouveau perso ? tel est le ""dur"" choix qui s'offre à moi..  :D Car oui même après toutes ces heures, tu n'as qu'une envie: y retourner 💛",Ranni_la_Witch,HIGH
Elden Ring,"Fan inconditionnel de FS, j’attendais ER comme le graal. Bon bah c’est le graal !Ce qui est fou c’est que plus j’y joue plus je trouve le jeu incroyable. Au début j’avais un peu du mal avec l’open world par exemple, surtout que c’est un genre qui m’a pas mal lassé avec le temps. Je trouvais celui d’ER assez vide et pas spécialement intéressant à fouiller. Mais en fait pas du tout ! Il est d’une richesse inattendue, et cette richesse se dévoile au fur et à mesure des sessions de jeux. Il y’a une foultitudes de secrets à découvrir, de petites « enigmes » à résoudre, de pnj/zone secret(e)s. C’est vraiment très abouti, on arrive plus à lâcher la manette. A côté de l’open world on a des sortes de « donjons » immenses qui servent à faire avancer l’histoire avec les boss importants du jeu. Et là je encore c’est une claque. Dites vous que chacun de ces donjons ça correspond à 2 voire 3 zones de dark souls misent bout à bout tellement c’est immense. Et la verticalité est parfaitement maîtrisée ce qui rend l’exploration jouissive.Les boss j’ai même pas envie de m’étendre dessus, c’est FS aux commandes. Dites vous juste qu’ils ont garder l’idée développée dans sekiro, à savoir moins de boss d’histoire, mais des combats absolument mémorable (contrairement aux souls et leurs boss très oubliables par moment). Ici il n’y a que les boss optionnels qui sont publiable même si certains sont d’excellentes surprises et vont vous donner beaucoup de fil à retordre.Après 40h de jeu sur pc, le bilan est moins « pire » que mes premières impressions. Très peu de drop fps et finalement ça ne survient qu’à des endroits très précis sur la map donc ça n’impacte aucunement le gameplay. Jamais eu aucun drop en boss fight (si l’on excepte la « sentinelle de l’arbre » vous verrez de quoi je parle en y jouant, mais il faut vraiment l’amener hors de sa zone d’aggro sinon c’est bourré de drop par là bas).Bref je pourrais continuer longtemps, mais c’est 20 sans aucune hésitation, certainement le meilleur jeu auquel j’ai joué depuis 10 ans. Attention néanmoins, si vous n’êtes pas coutumiers du style FS, renseignez vous peut être avant d’acheter car il est possible que ce ne soit pas votre truc.",Torzeka,HIGH
Elden Ring,"Le jeu de l’année, même peut être un des titres majeurs de la décennie selon moi, même si seul l’avenir nous le dira. En même temps, je crois bien que from soft est le seul studio qui ne m’a jamais déçu.Si vous aimez le souls, vous allez adorer. On retrouve le même gameplay exigeant qui a fait la force de la série avec des combats de boss dantesques ! Les commandes répondent toujours aussi bien (clavier souris pour ma part), et les combats sont plus skill que dans DS3, je trouve tout en étant plus nerveux que DS1 ou 2. Un peu de recyclage d’ennemi des anciens opus dans l’open world, mais des boss totalement originaux avec des affrontements très travaillés et c’est tout ce qui compte.L’open world est correct, même si je ne suis pas le plus grand fan du genre. Vu que from soft est au commande, comme vous vous en doutez, il y’a pleins de petits secrets à droite à gauche pour qui ouvrira le bon œil. La liberté dans la progression est de ce fait bien plus importante que dans les souls, ce qui est vraiment jouissif. Graphiquement c’est correct. Après perso je n’ai jamais compris le délire avec les graphismes, donc je suis pas spécialement difficile. Pour moi si les jeux vidéos avaient arrêté d’évoluer graphiquement au niveau de skyrim vanilla, ça me poserait pas de problèmes. Je ne suis pas pour la surenchère, et je trouve que la DA est le plus important. Ici elle est excellente, et le niveau de détails pourrait de toute manière impacter la fluidité ce qui ne serait pas bon pour un jeu au gameplay si exigeant.Niveau scenar du classique, des infos disséminées ci et là, à nous de recoller les morceaux. C’est peut être moins erratique que dans les souls ceci dit. Et ce que j’aime c’est qu’ils ont réussi à créer un univers absolument unique et original, tout en restant dans le cadre « souls » qu’on aime tant (avec les feux, les âmes, la gardienne du feu etc…).Petit bémol sur la version pc : il y’a des drops fps plus ou moins importants dans l’open world à certains points précis de la map et ce même avec une bonne config (notamment au niveau du premier boss optionnel que l’on rencontre des qu’on sort du tuto, du coup ça la fout mal). Nul doute que ce sera patché petit à petit, et ça ne gêne pas outre mesure étant donné que ça n’arrive que sur des points précis (certainement des zones de chargement invisibles entre des blocs de map). Sinon c’est très fluide rien à dire.J’ai déjà 25h de jeu, et j’ai l’impression de n’avoir effleurer que la surface de tout ce que le jeu peut proposer.En conclusion, si vous êtes déjà conquis par le studio foncez, aucune chance d’être déçu. C’est au moins aussi bien qu’un souls, après à vous de juger si vous préférez ce style ou non, les deux points de vue s’entendent et peuvent s’argumenter. Si en revanche ER est votre premier from soft, regardez peut être du gameplay avant d’acheter, car vous pourriez tout autant détester qu’avoir le coup de foudre.",Zekin,HIGH
Elden Ring,"Dark Souls, Open World, on mélange les deux et on obtient le meilleur jeu de FromSoftware. Elden Ring !
Premier Open World des développeurs, un monde majestueux, gigantesque, on s'y perd, on adore, on fouille tout, on craft, on survit, on s'en prend plein la tronche. Oui il y a des drops de Framerate sur PC, oui c'est chiant mais pas insurmontable. Les dév' on d'ailleurs répondu tôt ce matin pour nous prévenir qu'ils travaillent dessus et vont tout faire pour nous offrir la meilleur expérience possible. Le jeu est sortie à minuit, quelques heures après les dév' communique déjà avec nous. Ce jeu est le GOTY 2022 dans mon cœur de Gameuse, et dommage pour ceux qui ne savent pas l’apprécier à sa juste valeur.",Nashandra_Aldia,HIGH
Elden Ring,"Tout d'abord je tiens à préciser que je ne joue pas sur PC. Le jeu est a la hauteur de mes attentes : Grandiose. Je trouve ça dommage qu'il se fasse descendre à cause de ces problèmes techniques sur PC, j'espère que from software va vite corriger le tir pour que tout le monde puisse profiter dans les meilleures conditions de cette pépite car le jeu ne mérite pas ces notes.",Jorox23,HIGH
