game,comment,username,confidence
Elden Ring,"La quintessence de la formule des Souls.Miyazaki continue corps et âme de parfaire son oeuvre. Fera-t-il un jour un jeu ne serait-ce que «bien» ? Sa régularité et sa progression sont vraiment impressionnantes.Premier open world pour le boss du gamedesign du jeu vidéo, la proposition est pleinement réussite. Maîtrisée avec maestria. Cet open world est un véritable chef d’œuvre, un bijoux, dont les termes les plus élogieux ne sauraient suffire pour le définir. D'une immensité folle, où tout a un sens, et où à chaque instant la sensation et la soif d'exploration nous anime pour notre plus grand bonheur d'âme damnée, meurtrie par tant de jeux, et dont aucun n'arrivent à nous procurer ces sentiments si uniques que seuls les jeux de notre «Dieu Hidetaka» nous procurent.Comme à son habitude les équipes de Miyazaki excellent dans toutes les composantes du gamedesign. Direction artistique, OST, Level Design, Sound Design, Gameplay & co ; on est au firmament de tout ce qu'ils ont fait jusqu'ici. Les boss principaux sont incroyables, les environnements sont riches / variés / majestueux, les châteaux extraordinaires.. Les possibilités de builds.. infinies.Le jeu est d'une richesse folle et aussi hallucinant que cela puisse être, Elden Ring fait passer presque pour «ringard» tous les autres jeux de Miyazaki qui pourtant, sont déjà bien anthologiques comme nous ne le savons que trop bien. Comme beaucoup, j'ai été littéralement subjugué par ce que le jeu nous offre. Si vous pensiez avoir vu le meilleur de ce que FromSoftware pouvait faire, et à raison tant leurs précédentes productions tapaient déjà toutes dans l'excellence, avec Elden Ring ils ont réussi l’impensable: faire encore mieux..Elden Ring est le plus grand, le plus ambitieux, le plus génial et le plus extraordinaire jeu que Miyazaki et ses équipes aient fait. Bien que cela reste subjectif, Elden Ring s'inscrit dans la parfaite lignée / continuité que sont Dark Souls 1 et Bloodborne et dans les évolutions qu'ils ont engendré de cette formule tant appréciée. Cependant, un seul petit «regret» pour moi, la collab avec RR Martin me laissait espérer / présager peut être d'avoir une sorte de Dark Souls «The Witcherisé» avec une narration poussée et explicite, voir même des interactions ou encore de la vie comme dans un Dragon's Dogma. Il n'en n'est ( presque ) rien et sur ce point on est toujours dans cette narration abstraite, lugubre et mystérieuse. Ce n'est en rien un défaut car même si cela peut crisper, il faut se rendre à l'évidence que c'est un choix pleinement voulu pour stimuler et renforcer le caractère communautaire si particulier et si fort qu'ont ces jeux.  ( un petit journal, ou récap de dialogues etc ne ferait pas de mal quand même ! ^^ ).Pour conclure, la proposition faisait rêver, une fois plongé dans cet univers d'exception il faut un temps pour digérer et réaliser que ce doux rêve est bel et bien une réalité et que oui le jeu tient toutes ses promesses, «pire» encore.. il va même au delà et repousse toutes les limites comme vous ne l'aurez que trop bien compris.On pourrait se dire qu'après un jeu pareil la boucle serait sans doute bouclée..  Au contraire, il ouvre peut être un nouveau chapitre où l'on peu d'ores et déjà se projeter et se dire qu'Elden Ring n'est potentiellement qu'une base pour de futurs projets qui repousseraient encore et toujours plus les limites de nos imaginations et de nos désirs vidéo ludiques en compagnie de FromSoftware. Imaginez pouvoir survoler ces mondes immenses à dos de griffons ou de dragons, avoir des zones et des combats dans les airs, de même que de partir à la conquête des mers, des fonds marins ou que sais-je encore.. Ils sont tellement à un niveau qualitatif comme rarement des studios n'ont atteint dans l'histoire, que quoi qu'ils fassent, avec leur haut degré d'exigence qui se ressent à chaque instant, ils vont sûrement nous faire rêver bon nombre d'années encore, pour notre plus grand bonheur.Ah et autre bonne nouvelle, le jeu est enfin ""accessible"" sans déroger à son ADN. Certaines mécaniques de jeu permettent à chacun de s'y retrouver et d'aborder le jeu comme bon lui semble. Tout le monde y trouvera son compte, les gros try hardeur, les joueurs normaux, comme les nouveaux venus. C'est le principal. Et par pitié, au «d!able» ces préjugés et ces pressions sociales en carton qui voudraient que ce serait soit disant des jeux de pro-g@m3rz élitistes.. N'ayez plus peur de franchir le pas, kiffez juste VOTRE aventure Gloire à toi ô Grand «Seigneur Hidetaka», nous ne pouvons qu'être honorés de ton existence. Du fond du coeur, Merci.",Chichariito,MEDIUM
Elden Ring,"Tout à fait novice dans les jeux Fromsoftware (j’ai dû jouer quelques heures à Dark Souls III sans plus), je dois dire que j’ai été chamboulé par Elden Ring. Tout d’abord par la prise en main, qui est plutôt intuitive si l’on s’accorde un peu de temps à lire toutes les instructions de début de game. Ensuite, par les époustouflants panoramas que nous propose le jeu. Un festival de décors de cartes postales Fantasy, des ponts effondrés, des châteaux dans la brume, des manoirs reculés dans des zones volcaniques… et même des étendues glacées et humides. Passé la claque visuelle de certains plans, l’essentiel arrive : le jeu. Oui, Elden Ring est un jeu difficile. Très difficile même pour quelqu’un comme moi, qui ne connaît pas trop les mécaniques ou la technique. Mais quel plaisir que de réussir à battre un boss, même si celui-ci est optionnel. Quel plaisir de pouvoir débloquer tant d’armes, d’armures, de sorts d’incantations et de cendres de guerre ! Découvrir son environnement, c’est à coup sûr être récompensé. Que dire des boss ? Les combats sont épiques et nerveusement épuisants mais on en redemande, ou tout du moins, j’en redemande. Être bloqué sur le même boss pendant des heures de try et enfin réussir à le faire tomber, le plaisir que l’on peut ressentir, peut être est-ce là la force de cet Elden Ring. Un des jeux les plus marquants de ma courte expérience de gamer. Le dernier en date à m’avoir fait cette effet, c’est Assassin’s Creed, le premier, c’est dire… Presque parfait, si il fallait réellement donner un point négatif à ce jeu ça serait le recyclage de certains boss comme dit dans le test officiel de jvcom. C’est vrai que c’est un tout petit peu lassant, mais cela n’arrive qu’à 2 reprises, de là ou j’en suis dans le jeu du moins. Elden Ring est une Aventure avec un A, un nouveau mythe de jeu vidéo à n’en pas douter tant il est riche, exigeant, mais tout autant reconnaissant via les récompenses de boss et de donjons optionnels vraiment superbes à jouer.",enguerrand_92,MEDIUM
Elden Ring,"1er constat: aucun bug. A.U.C.U.N.J'aime les Souls et je ne suis vraiment pas perdu dans Elden Ring. On y retrouve beaucoup de simulitudes, notamment au niveau de l'inventaire, de l'équipement, de l'utilisation des objets ou des armes... ainsi que la difficulté/l'exigence habituelle des Souls. Et ça, c'est une très bonne nouvelle. Ayant comme tout le monde entendu parler d'un jeu ""rendu plus accessible"" j'étais un peu inquiet de ne pas retrouver le challenge habituel sur Elden Ring, mais il est bien là.Les devs ont rendu le jeu plus accessible sur des points qui ne nuisent absolument en rien au plaisir que les joueurs recherchent. Au contraire, je trouve même que certaines choses ont été judicieusement améliorées, mais j'éviterai d'en parler pour ne pas Spoil.Esthétiquement c'est très agréable, mais on regrette un peu que les animations n'aient pas (ou très peu) changé depuis Dark Souls 3. Par contre je suis en kif total devant les décors intérieurs, souvent plus sombre.Bref, on a vraiment un excellent jeu: beau, fluide, sans bug, vaste mais rempli de secrets, tantôt sombre et étriqué, tantôt lumineux et ouvert, on retrouve ce qui fait la force d'un Souls accompagné d'un vent de fraicheur impeccablement dosé. Le jeu annonce de nombreuses heures de plaisir. Mention spéciale pour le prix: 59€ sur PS5 avec un étui et un contenu sympa dans celui-ci, c'est très honnête.",youri293,MEDIUM
Elden Ring,"D'habitude je rédige de longs avis détaillés mais pour Elden Ring, si je le fais, j'en aurai pour des heures tellement j'ai d'éloges à lui faire. Parce que je ne sais vraiment pas quoi lui reprocher, il n'y a rien qui me déplait au point que j'en parle. Je ne manque pas d'objectivité, je suis seulement conquis par ce jeu, totalement conquis. Peut-être le recyclage d'assets qui peut gêner ? Même pas, avec toutes les qualités que ce jeu possède je ne peux pas me fâcher par rapport à ça. Les graphismes ? Le peaufinage des textures peut laisser à désirer surtout quand on compare le jeu à d'autres titres prestigieux en terme graphique mais il ne reste pas moins magnifique. Les décors sont somptueux, c'est lumineux, chaque zone à sa propre ambiance...Étant un bon connaisseur des jeux FS, Elden Ring est à mes yeux le Dark Souls dont j'ai toujours rêvé, le Dark Souls de mes fantasmes... D'ailleurs je me demande si les développeurs n'étaient pas ramollis quand ils ont créé Dark Souls 3 ou s'ils ont pété les plombs en créant Elden Ring. Car ce jeu est à des années-lumière de DS3. Il est tellement riche, complet et sa DA tellement impressionnante. C'en est insolant. L'open world est démentiel, extrêmement vaste et varié, les builds possibles battent à plate couture tout ce qu'offraient ceux des trois Dark Souls. Entre cette possibilité de changer la compétence / weapon art de notre arme et la tonne de sorts qui sont bluffants ne serait-ce que visuellement... on est gâtés ! Même les plus beaux plans connus comme Anor Londo ou Irithyll ne sont rien comparés à ce qu'on voit dans Elden Ring. Et ce dès le début.Bref, j'suis un fou et je lui mets 20/20. La dernière fois que j'ai été autant excité par un jeu c'était pour RDR2 qui passe à présent en coup de coeur numéro 2 de ma liste. Sauf que lui, il avait ses défauts gênants et je ne lui ai pas mis cette note. Mais pas Elden Ring qui la mérite, ce jeu est un vrai bijou, une perfection, bref, j'vous ai déjà dit qu'il m'avait conquis ?",Dark-Saul,MEDIUM
Elden Ring,"J'en suis a 30 heures et je peut clamer haut et fort que c'est le meilleur open world qui m'est été donné de parcourir.
Je faisais parti des sceptiques a l'idée d'adapter le level design étriqué des souls et c'est un pari réussi.
Une verticalité qui n'a d'égale dans sa conception, un monde ouvert ou chaque combat a été pensé pour vous cloisoné entre vous et le mob en question malgré une liberté incroyable.
Techniquement c'est d'une splendeur incroyable, les souls avaient besoin d'un petit lifting et c'est chose réussi avec brio. Suffit de se tenir en hauteur pour prendre des baffes avec des panoramas incroyable.
Les boss ont tous un gameplay au poil et maitrisé, ya 20 ans d'expertise de souls derrière et ca se ressent.
Une difficulté qui aurait pu être parfaite... sans les invocations qui casualisent beaucoup TROP le jeu.
Mais bon on peut refuser de s'en servir, puis c'est pas comme si la magie existé depuis demon souls si on veut parler de casualisation. Disons que c'est une alternative qui plaira au plus grand nombre.En revanche ceux qui mettent 10 et moins sans y avoir jouer, contribuant a cette mode du review bombing, vous faites drôlement pitié.",SanOuAvecGoku,MEDIUM
Elden Ring,"Enfin un superbe jeu sur PS5, immersif, difficile et addictif !
Incontestablement le meilleur jeu sur cette console depuis sa sortie, un must-have. Ambiance garantie.",bonnox,MEDIUM
Elden Ring,"Bon, quand je vois les avis très objectif des utilisateurs du site,je me dis qu’il faut bien mettre une note pour remonter la moyenne de ce chef d’œuvre car oui, sur ps5 plus particulièrement, ce jeu est magnifique même en mode performance sans  aucun bug .Les gens ne comprennent pas que les temps est que les jeux demandent une meilleure configuration, j’imagine bien qu’il y a d’autres personnes qui n’on toujours pas compris le principe de Die and retry des souls, l’un des seuls point noirs c’est les ennemis cons, parfois mal fichue ou complètement repomper sur les autres jeux ps : le gameplay à est satisfaisant mais frustrant dans les endroits exigus.",Badway000,MEDIUM
Elden Ring,"Un peu partagé quand même, au début j'aurai volontiers mit un 20, met j'ai un doute quand à la formule monde ouvert, déjà d'un point de vue de la rejouabilité ( car les souls en ont toujours beaucoup) ben ça me branche pas, l'idée de devoir me refaire chaque donjon, explorer à nouveau toute la map, chopper chaque items.. pfouu non.
Puis globalement, tout ces donjons et ces 40000 ruines, ça m'a pas fait vibré plus que ça.
Je rajouterais que le craft est inintéressant ( comme dans n'importe quel jeu que j'ai pu voir hors path of exile ) un peu personnel comme avis, mais quand je vois un objet qui brille au loin et que je fais un détour tout ça pour que ce soit une énième plante à la c**.. bon.
Je crois que j'aurais aimé un truc un peu plus condensé par moment, un peu moins de ressemblance entre tout ces donjons qui ont toujours la même gueule.
à coté de ça j'ai pas grand chose à redire, la da est monstrueuse, le système de cendre de guerre est une très bonne idée, les combats sont toujours aussi satisfaisant, bref le jeu est vraiment bien mais pour ce from software il n'y aura pas de reroll pour moi.
Je rajouterais quand même que ça manque encore d'équilibrage ( coucou les incantations ) et je ne parle même pas de celui du pvp",Gallylapoisse,MEDIUM
Elden Ring,"Bah que dire… J’ai suivi l’évolution des JV depuis 1981 (bah oui…! J’ai 50ans !): du ZX81, A2600, Vectrex, NES, en passant par le MSX et autre NEC Pc engine, Etc etc… j’ai a peu près tout eu et tout tester sur toutes les plateformes..ayant la chance de vivre au Japon / USA, et d’y aller 2x / an depuis 1995… Bref je m’égare pour certains, mais il est important de savoir à qui on s’adresse selon moi ! Donc après avoir poncer DyingLight 2 et Horizon 2 sur ps5, Halo sur Série X (déception…), je trouve ce nouveau Soul en open world, ultra cool et addictif (!), et franchement ACCESSIBLE (pas comme Soul 2 !), une magnifique réussite après un Soul3 PS4 génial et beau à tomber, et le superbe Demons Soul remake de décembre 2020, aucun jeu ne lui arrive à la cheville…! Depuis Zelda en 2017, le top en RPG open world… Mais oui: il faut s’accrocher sur les 20 premières heures… apprendre les frames pas cœur comme à l’époque de Ghost’n’Goblin / Rastan ..! Et c’est qui est BON ! C’est pas la ballade onirique de Horizon (qui reste génial comme simple visite d’un monde virtuel cohérent et magnifique également.. mais dont la patte artistique est bcp bcp moins aboutie…), mais un VRAI jeux vidéo qui demande un peu de « travail » mais quelle satisfaction quand on défonce un Boss… Amen ! La messe est dite…! 😎19/20 (pour qlq petit trucs gênants…)",XGAEL07,MEDIUM
Elden Ring,"C'est pareil à la sortie de tous les From Software, je lis des commentaires de certains joueurs qui clament qu'il n'y a pas d'histoire ni de quêtes... Au même moment où je suis totalement captivé par l'intrigue des quêtes justement.
Franchement, si on a tous jouer à Elden Ring, on n'aura finalement pas joué au même jeu et c'est bien dommage mais c'est comme ça, on ne peux rien faire si les gens n'ont pas envie de faire d'efforts.
'Oui mais je ne veux pas donner des heures pour m'investir dans leur jeux mais je veux quand même le faire et comprendre.'
Pour moi c'est pareil que : 'Je ne veux pas faire les études de médecine mais je veux quand même le diplôme.'
Oui effectivement, je n'ai pas de solution à ce moment là désolé il faudrait peut-être se remettre en question.
Que faut-il donc faire pour ne pas passer à côté du travail de From Software ?
Et bien voir le jeu comme un jeu d'énigme à résoudre, une enquête, il faut être un détective à la recherche d'indice, car oui on le sait on est pas pris par la main, une fois résigné, une tout nouvelle experience magnifiquement bien pensée s'offre au joueur.
Il serait tentant effectivement de voir ce jeu comme un boss run, ou juste une map remplie d'enemies.
C'est tentant car oui, il y a tellement de soin apporter au côté 'combat' dans Elden Ring qu'on pourrait penser qu'il n'y a que ça, ce qui est déjà suffisant ! Mais non,
From Software abat à chaque jeu un travail beaucoup plus complet pour multiple experiences,  pour les amoureux d'intrigues et de lore, et les amoureux des build et strat.
Leur jeux n'est pas l'un sans l'autre, ils ont travaillés pour ça, la difficulté au mérite ne concerne pas que le combat de boss, il y a aussi une difficulté dans l'assemblage du puzzle qu'est l'histoire du jeu, qui est donc elle aussi une récompense.
D'ailleurs dans tout les jeux FS il y a plusieurs fins, deux notoires : la fin du feignant autour de 50/60h de jeu et la 'vrai'  fin qui recompense la passion investie dans le jeu, autour de 150/200h.
Elden Ring sonne comme un aboutissement de leur oeuvre, avec de léger défauts pour les habitués mais d'une intelligence démentielle pour quelqu'un qui découvre FS avec Elden Ring.",_Dynast_,MEDIUM
