,game,platform,comment,username,grade,comment_normalized,compound_vader
1,Elden Ring,PlayStation 5,"La quintessence de la formule des Souls.Miyazaki continue corps et âme de parfaire son oeuvre. Fera-t-il un jour un jeu ne serait-ce que «bien» ? Sa régularité et sa progression sont vraiment impressionnantes.Premier open world pour le boss du gamedesign du jeu vidéo, la proposition est pleinement réussite. Maîtrisée avec maestria. Cet open world est un véritable chef d’œuvre, un bijoux, dont les termes les plus élogieux ne sauraient suffire pour le définir. D'une immensité folle, où tout a un sens, et où à chaque instant la sensation et la soif d'exploration nous anime pour notre plus grand bonheur d'âme damnée, meurtrie par tant de jeux, et dont aucun n'arrivent à nous procurer ces sentiments si uniques que seuls les jeux de notre «Dieu Hidetaka» nous procurent.Comme à son habitude les équipes de Miyazaki excellent dans toutes les composantes du gamedesign. Direction artistique, OST, Level Design, Sound Design, Gameplay & co ; on est au firmament de tout ce qu'ils ont fait jusqu'ici. Les boss principaux sont incroyables, les environnements sont riches / variés / majestueux, les châteaux extraordinaires.. Les possibilités de builds.. infinies.Le jeu est d'une richesse folle et aussi hallucinant que cela puisse être, Elden Ring fait passer presque pour «ringard» tous les autres jeux de Miyazaki qui pourtant, sont déjà bien anthologiques comme nous ne le savons que trop bien. Comme beaucoup, j'ai été littéralement subjugué par ce que le jeu nous offre. Si vous pensiez avoir vu le meilleur de ce que FromSoftware pouvait faire, et à raison tant leurs précédentes productions tapaient déjà toutes dans l'excellence, avec Elden Ring ils ont réussi l’impensable: faire encore mieux..Elden Ring est le plus grand, le plus ambitieux, le plus génial et le plus extraordinaire jeu que Miyazaki et ses équipes aient fait. Bien que cela reste subjectif, Elden Ring s'inscrit dans la parfaite lignée / continuité que sont Dark Souls 1 et Bloodborne et dans les évolutions qu'ils ont engendré de cette formule tant appréciée. Cependant, un seul petit «regret» pour moi, la collab avec RR Martin me laissait espérer / présager peut être d'avoir une sorte de Dark Souls «The Witcherisé» avec une narration poussée et explicite, voir même des interactions ou encore de la vie comme dans un Dragon's Dogma. Il n'en n'est ( presque ) rien et sur ce point on est toujours dans cette narration abstraite, lugubre et mystérieuse. Ce n'est en rien un défaut car même si cela peut crisper, il faut se rendre à l'évidence que c'est un choix pleinement voulu pour stimuler et renforcer le caractère communautaire si particulier et si fort qu'ont ces jeux.  ( un petit journal, ou récap de dialogues etc ne ferait pas de mal quand même ! ^^ ).Pour conclure, la proposition faisait rêver, une fois plongé dans cet univers d'exception il faut un temps pour digérer et réaliser que ce doux rêve est bel et bien une réalité et que oui le jeu tient toutes ses promesses, «pire» encore.. il va même au delà et repousse toutes les limites comme vous ne l'aurez que trop bien compris.On pourrait se dire qu'après un jeu pareil la boucle serait sans doute bouclée..  Au contraire, il ouvre peut être un nouveau chapitre où l'on peu d'ores et déjà se projeter et se dire qu'Elden Ring n'est potentiellement qu'une base pour de futurs projets qui repousseraient encore et toujours plus les limites de nos imaginations et de nos désirs vidéo ludiques en compagnie de FromSoftware. Imaginez pouvoir survoler ces mondes immenses à dos de griffons ou de dragons, avoir des zones et des combats dans les airs, de même que de partir à la conquête des mers, des fonds marins ou que sais-je encore.. Ils sont tellement à un niveau qualitatif comme rarement des studios n'ont atteint dans l'histoire, que quoi qu'ils fassent, avec leur haut degré d'exigence qui se ressent à chaque instant, ils vont sûrement nous faire rêver bon nombre d'années encore, pour notre plus grand bonheur.Ah et autre bonne nouvelle, le jeu est enfin ""accessible"" sans déroger à son ADN. Certaines mécaniques de jeu permettent à chacun de s'y retrouver et d'aborder le jeu comme bon lui semble. Tout le monde y trouvera son compte, les gros try hardeur, les joueurs normaux, comme les nouveaux venus. C'est le principal. Et par pitié, au «d!able» ces préjugés et ces pressions sociales en carton qui voudraient que ce serait soit disant des jeux de pro-g@m3rz élitistes.. N'ayez plus peur de franchir le pas, kiffez juste VOTRE aventure Gloire à toi ô Grand «Seigneur Hidetaka», nous ne pouvons qu'être honorés de ton existence. Du fond du coeur, Merci.",Chichariito,19,quintessence formule soulsmiyazaki continue corp âme parfaire oeuvre feratil jour jeu seraitce bien régularité progression vraiment impressionnantespremier open world bos gamedesign jeu vidéo proposition pleinement réussite maîtrisée maestria cet open world véritable chef dœuvre bijou not termes plus élogieux sauraient suffire définir dune immensité folle tout sen chaque instant sensation soif dexploration anime plus grand bonheur dâme damnée meurtrie tant jeux not aucun narrivent procurer sentiment uniques seuls jeux dieu hidetaka procurentcomme habitude équipes miyazaki excellent toutes composantes gamedesign direction artistique ost level design sound design gameplay firmament tout quils fait jusquici bos principaux incroyables environnements rich variés majestueux châteaux extraordinaires possibilités build infiniesle jeu dune richesse folle aussi hallucinant cela puisse être elden ring fait passer presque ringard tous autres jeux miyazaki pourtant déjà bien anthologiques comme savons trop bien comme beaucoup jai littéralement subjugué jeu offre pensiez avoir meilleur fromsoftware pouvait faire raison tant leurs précédentes production tapaient déjà toutes lexcellence elden ring réussi limpensable faire encore mieuxelden ring plus grand plus ambitieux plus génial plus extraordinaire jeu miyazaki équipes fait bien cela reste subjectif elden ring sinscrit parfaite lignée continuité dark soul bloodborne évolutions quils engendré cette formule tant appréciée cependant seul petit regret collab martin laissait espérer présager peut être davoir sorte dark soul the witcherisé narration poussée explicite voir interaction encore vie comme dragon dogma nen nest presque rien point toujours cette narration abstraite lugubre mystérieuse nest rien défaut car cela peut crisper faut rendre lévidence cest choix pleinement voulu stimuler renforcer caractère communautaire particulier fort quont jeux petit journal récap dialogue etc ferait mal quand conclure proposition faisait rêver fois plongé cet univers dexception faut temp digérer réaliser doux rêve bel bien réalité oui jeu tient toutes promesses pire encore delà repousse toutes limites comme laurez trop bien comprison pourrait dire quaprès jeu pareil boucle sans doute bouclée contraire ouvre peut être nouveau chapitre lon peu dores déjà projeter dire quelden ring nest potentiellement quune base futurs projets repousseraient encore toujours plus limites imagination désirs vidéo ludiques compagnie fromsoftware imaginez pouvoir survoler mondes immenses griffon dragon avoir zone combat air partir conquête mers fonds marins saisje encore tellement niveau qualitatif comme rarement studio nont atteint lhistoire quoi quils fassent haut degré dexigence ressent chaque instant vont sûrement faire rêver bon nombre dannées encore plus grand bonheurah autre bonne nouvelle jeu enfin accessible sans déroger adn certaines mécaniques jeu permettent chacun retrouver daborder jeu comme bon semble tout monde trouvera compte gros try hardeur joueurs normaux comme nouveaux venus cest principal pitié dable préjugés pressions sociales carton voudraient disant jeux progm3rz élitistes nayez plus peur franchir kiffez juste aventure gloire grand seigneur hidetaka pouvons quêtre honorés existence fond coeur merci,0.9955
4,Elden Ring,PlayStation 5,"Tout à fait novice dans les jeux Fromsoftware (j’ai dû jouer quelques heures à Dark Souls III sans plus), je dois dire que j’ai été chamboulé par Elden Ring. Tout d’abord par la prise en main, qui est plutôt intuitive si l’on s’accorde un peu de temps à lire toutes les instructions de début de game. Ensuite, par les époustouflants panoramas que nous propose le jeu. Un festival de décors de cartes postales Fantasy, des ponts effondrés, des châteaux dans la brume, des manoirs reculés dans des zones volcaniques… et même des étendues glacées et humides. Passé la claque visuelle de certains plans, l’essentiel arrive : le jeu. Oui, Elden Ring est un jeu difficile. Très difficile même pour quelqu’un comme moi, qui ne connaît pas trop les mécaniques ou la technique. Mais quel plaisir que de réussir à battre un boss, même si celui-ci est optionnel. Quel plaisir de pouvoir débloquer tant d’armes, d’armures, de sorts d’incantations et de cendres de guerre ! Découvrir son environnement, c’est à coup sûr être récompensé. Que dire des boss ? Les combats sont épiques et nerveusement épuisants mais on en redemande, ou tout du moins, j’en redemande. Être bloqué sur le même boss pendant des heures de try et enfin réussir à le faire tomber, le plaisir que l’on peut ressentir, peut être est-ce là la force de cet Elden Ring. Un des jeux les plus marquants de ma courte expérience de gamer. Le dernier en date à m’avoir fait cette effet, c’est Assassin’s Creed, le premier, c’est dire… Presque parfait, si il fallait réellement donner un point négatif à ce jeu ça serait le recyclage de certains boss comme dit dans le test officiel de jvcom. C’est vrai que c’est un tout petit peu lassant, mais cela n’arrive qu’à 2 reprises, de là ou j’en suis dans le jeu du moins. Elden Ring est une Aventure avec un A, un nouveau mythe de jeu vidéo à n’en pas douter tant il est riche, exigeant, mais tout autant reconnaissant via les récompenses de boss et de donjons optionnels vraiment superbes à jouer.",enguerrand_92,19,tout fait novice jeux fromsoftware jai jouer quelques heures dark soul iii sans plus doi dire jai chamboulé elden ring tout dabord prise main plutôt intuitive lon saccorde peu temp lira toutes instruction début game ensuite époustouflants panorama propose jeu festival décors carte postales fantasy ponts effondrés châteaux brume manoirs reculés zone volcaniques étendues glacées humides passé claque visuelle certains plan lessentiel arrive jeu oui elden ring jeu difficile très difficile quelquun comme connaît trop mécaniques technique quel plaisir réussir battre bos celuici optionnel quel plaisir pouvoir débloquer tant darmes darmures sort dincantations cendres guerre découvrir environnement cest coup sûare être récompensé dire bos combat épiques nerveusement épuisants redemande tout moins jen redemande être bloqué bos pendant heures try enfin réussir faire tomber plaisir lon peut ressentir peut être estce force cet elden ring jeux plus marquants courte expérience gamer dernier date mavoir fait cette effet cest assassin creed premier cest dire presque parfait fallait réellement donner point négatif jeu recyclage certains bos comme dit test officiel jvcom cest vrai cest tout petit peu lassant cela narrive quà reprises jen jeu moins elden ring aventure nouveau mythe jeu vidéo nen douter tant riche exigeant tout autant reconnaissant via récompenses bos donjon optionnels vraiment superbes jouer,0.9058
6,Elden Ring,PlayStation 5,"1er constat: aucun bug. A.U.C.U.N.J'aime les Souls et je ne suis vraiment pas perdu dans Elden Ring. On y retrouve beaucoup de simulitudes, notamment au niveau de l'inventaire, de l'équipement, de l'utilisation des objets ou des armes... ainsi que la difficulté/l'exigence habituelle des Souls. Et ça, c'est une très bonne nouvelle. Ayant comme tout le monde entendu parler d'un jeu ""rendu plus accessible"" j'étais un peu inquiet de ne pas retrouver le challenge habituel sur Elden Ring, mais il est bien là.Les devs ont rendu le jeu plus accessible sur des points qui ne nuisent absolument en rien au plaisir que les joueurs recherchent. Au contraire, je trouve même que certaines choses ont été judicieusement améliorées, mais j'éviterai d'en parler pour ne pas Spoil.Esthétiquement c'est très agréable, mais on regrette un peu que les animations n'aient pas (ou très peu) changé depuis Dark Souls 3. Par contre je suis en kif total devant les décors intérieurs, souvent plus sombre.Bref, on a vraiment un excellent jeu: beau, fluide, sans bug, vaste mais rempli de secrets, tantôt sombre et étriqué, tantôt lumineux et ouvert, on retrouve ce qui fait la force d'un Souls accompagné d'un vent de fraicheur impeccablement dosé. Le jeu annonce de nombreuses heures de plaisir. Mention spéciale pour le prix: 59€ sur PS5 avec un étui et un contenu sympa dans celui-ci, c'est très honnête.",youri293,19,1er constat aucun bug aucunjaime soul vraiment perdu elden ring retrouve beaucoup simulitudes notamment niveau linventaire léquipement lutilisation objets armes ainsi difficultélexigence habituelle soul cest très bonne nouvelle comme tout monde entendu parler dun jeu rendu plus accessible jétais peu inquiet retrouver challenge habituel elden ring bien làles devs rendu jeu plus accessible point nuisent absolument rien plaisir joueurs recherchent contraire trouve certaines choses judicieusement améliorées jéviterai den parler spoilesthétiquement cest très agréable regrette peu animation naient très peu changé depuis dark soul contre kif total devant décors intérieurs souvent plus sombrebref vraiment excellent jeu beau fluide sans bug vaste rempli secret tantôt sombre étriqué tantôt lumineux ouvert retrouve fait force dun soul accompagné dun vent fraicheur impeccablement dosé jeu annonce nombreuses heures plaisir mention spéciale prix ps5 étui contenu sympa celuici cest très honnête,-0.427
9,Elden Ring,PlayStation 5,"D'habitude je rédige de longs avis détaillés mais pour Elden Ring, si je le fais, j'en aurai pour des heures tellement j'ai d'éloges à lui faire. Parce que je ne sais vraiment pas quoi lui reprocher, il n'y a rien qui me déplait au point que j'en parle. Je ne manque pas d'objectivité, je suis seulement conquis par ce jeu, totalement conquis. Peut-être le recyclage d'assets qui peut gêner ? Même pas, avec toutes les qualités que ce jeu possède je ne peux pas me fâcher par rapport à ça. Les graphismes ? Le peaufinage des textures peut laisser à désirer surtout quand on compare le jeu à d'autres titres prestigieux en terme graphique mais il ne reste pas moins magnifique. Les décors sont somptueux, c'est lumineux, chaque zone à sa propre ambiance...Étant un bon connaisseur des jeux FS, Elden Ring est à mes yeux le Dark Souls dont j'ai toujours rêvé, le Dark Souls de mes fantasmes... D'ailleurs je me demande si les développeurs n'étaient pas ramollis quand ils ont créé Dark Souls 3 ou s'ils ont pété les plombs en créant Elden Ring. Car ce jeu est à des années-lumière de DS3. Il est tellement riche, complet et sa DA tellement impressionnante. C'en est insolant. L'open world est démentiel, extrêmement vaste et varié, les builds possibles battent à plate couture tout ce qu'offraient ceux des trois Dark Souls. Entre cette possibilité de changer la compétence / weapon art de notre arme et la tonne de sorts qui sont bluffants ne serait-ce que visuellement... on est gâtés ! Même les plus beaux plans connus comme Anor Londo ou Irithyll ne sont rien comparés à ce qu'on voit dans Elden Ring. Et ce dès le début.Bref, j'suis un fou et je lui mets 20/20. La dernière fois que j'ai été autant excité par un jeu c'était pour RDR2 qui passe à présent en coup de coeur numéro 2 de ma liste. Sauf que lui, il avait ses défauts gênants et je ne lui ai pas mis cette note. Mais pas Elden Ring qui la mérite, ce jeu est un vrai bijou, une perfection, bref, j'vous ai déjà dit qu'il m'avait conquis ?",Dark-Saul,20,dhabitude rédige longs avis détaillés elden ring fais jen heures tellement jai déloges faire parce sais vraiment quoi reprocher rien déplait point jen parle manque dobjectivité seulement conquis jeu totalement conquis peutêtre recyclage dassets peut gêner toutes qualités jeu possède peux fâcher rapport graphismes peaufinage texture peut laisser désirer surtout quand compare jeu dautres titre prestigieux terme graphique reste moins magnifique décors somptueux cest lumineux chaque zone propre ambianceétant bon connaisseur jeux elden ring yeux dark soul not jai toujours rêvé dark soul fantasmes dailleurs demande développeurs nétaient ramollis quand créé dark soul sils pété plombs créant elden ring car jeu annéeslumière ds3 tellement riche complet tellement impressionnante cen insolant lopen world démentiel extrêmement vaste varié build possible battent plate couture tout quoffraient ceux trois dark soul entre cette possibilité changer compétence weapon art arme tonne sort bluffants seraitce visuellement gâtés plus beau plan connus comme anor londo irithyll rien comparés quon voit elden ring dès débutbref jsuis fou mets 2020 dernière fois jai autant excité jeu cétait rdr2 passe présent coup coeur numéro liste sauf défauts gênants cette note elden ring mérite jeu vrai bijou perfection bref jvous déjà dit quil mavait conquis,0.6604
14,Elden Ring,PlayStation 5,"J'en suis a 30 heures et je peut clamer haut et fort que c'est le meilleur open world qui m'est été donné de parcourir.
Je faisais parti des sceptiques a l'idée d'adapter le level design étriqué des souls et c'est un pari réussi.
Une verticalité qui n'a d'égale dans sa conception, un monde ouvert ou chaque combat a été pensé pour vous cloisoné entre vous et le mob en question malgré une liberté incroyable.
Techniquement c'est d'une splendeur incroyable, les souls avaient besoin d'un petit lifting et c'est chose réussi avec brio. Suffit de se tenir en hauteur pour prendre des baffes avec des panoramas incroyable.
Les boss ont tous un gameplay au poil et maitrisé, ya 20 ans d'expertise de souls derrière et ca se ressent.
Une difficulté qui aurait pu être parfaite... sans les invocations qui casualisent beaucoup TROP le jeu.
Mais bon on peut refuser de s'en servir, puis c'est pas comme si la magie existé depuis demon souls si on veut parler de casualisation. Disons que c'est une alternative qui plaira au plus grand nombre.En revanche ceux qui mettent 10 et moins sans y avoir jouer, contribuant a cette mode du review bombing, vous faites drôlement pitié.",SanOuAvecGoku,20,jen heures peut clamer haut fort cest meilleur open world mest donné parcourir faisais parti sceptiques lidée dadapter level design étriqué soul cest pari réussi verticalité dégale conception monde ouvert chaque combat pensé cloisoné entre mob question malgré liberté incroyable techniquement cest dune splendeur incroyable soul besoin dun petit lifting cest chose réussi brio suffit tenir hauteur prendre baffes panorama incroyable bos tous gameplay poil maitrisé dexpertise soul derrière ressent difficulté être parfaite sans invocation casualisent beaucoup trop jeu bon peut refuser sen servir puis cest comme magie existé depuis demon soul veut parler casualisation disons cest alternative plaira plus grand nombreen revanche ceux mettent moins sans avoir jouer contribuant cette mode review bombing faites drôlement pitié,0.3563
17,Elden Ring,PlayStation 5,"Enfin un superbe jeu sur PS5, immersif, difficile et addictif !
Incontestablement le meilleur jeu sur cette console depuis sa sortie, un must-have. Ambiance garantie.",bonnox,20,enfin superbe jeu ps5 immersif difficile addictif incontestablement meilleur jeu cette console depuis sortie musthave ambiance garantie,0.7906
18,Elden Ring,PlayStation 5,"Bon, quand je vois les avis très objectif des utilisateurs du site,je me dis qu’il faut bien mettre une note pour remonter la moyenne de ce chef d’œuvre car oui, sur ps5 plus particulièrement, ce jeu est magnifique même en mode performance sans  aucun bug .Les gens ne comprennent pas que les temps est que les jeux demandent une meilleure configuration, j’imagine bien qu’il y a d’autres personnes qui n’on toujours pas compris le principe de Die and retry des souls, l’un des seuls point noirs c’est les ennemis cons, parfois mal fichue ou complètement repomper sur les autres jeux ps : le gameplay à est satisfaisant mais frustrant dans les endroits exigus.",Badway000,19,bon quand vois avis très objectif utilisateurs siteje dis quil faut bien mettre note remonter moyenne chef dœuvre car oui ps5 plus particulièrement jeu magnifique mode performance sans aucun bug gen comprennent temp jeux demandent meilleure configuration jimagine bien quil dautres personnes non toujours compris principe die and retry soul lun seuls point noirs cest ennemis con parfois mal fichue complètement repomper autres jeux gameplay satisfaisant frustrant endroits exigus,-0.7435
37,Elden Ring,PlayStation 5,"Un peu partagé quand même, au début j'aurai volontiers mit un 20, met j'ai un doute quand à la formule monde ouvert, déjà d'un point de vue de la rejouabilité ( car les souls en ont toujours beaucoup) ben ça me branche pas, l'idée de devoir me refaire chaque donjon, explorer à nouveau toute la map, chopper chaque items.. pfouu non.
Puis globalement, tout ces donjons et ces 40000 ruines, ça m'a pas fait vibré plus que ça.
Je rajouterais que le craft est inintéressant ( comme dans n'importe quel jeu que j'ai pu voir hors path of exile ) un peu personnel comme avis, mais quand je vois un objet qui brille au loin et que je fais un détour tout ça pour que ce soit une énième plante à la c**.. bon.
Je crois que j'aurais aimé un truc un peu plus condensé par moment, un peu moins de ressemblance entre tout ces donjons qui ont toujours la même gueule.
à coté de ça j'ai pas grand chose à redire, la da est monstrueuse, le système de cendre de guerre est une très bonne idée, les combats sont toujours aussi satisfaisant, bref le jeu est vraiment bien mais pour ce from software il n'y aura pas de reroll pour moi.
Je rajouterais quand même que ça manque encore d'équilibrage ( coucou les incantations ) et je ne parle même pas de celui du pvp",Gallylapoisse,19,peu partagé quand début jaurai volontiers mit met jai doute quand formule monde ouvert déjà dun point vue rejouabilité car soul toujours beaucoup ben branche lidée devoir refaire chaque donjon explorer nouveau toute map chopper chaque item pfouu non puis globalement tout donjon 40000 ruines fait vibré plus rajouterais craft inintéressant comme nimporte quel jeu jai voir hors path exile peu personnel comme avis quand vois objet brille loin fais détour tout énième plante bon crois jaurais aimé truc peu plus condensé moment peu moins ressemblance entre tout donjon toujours gueule coté jai grand chose redire monstrueuse système cendre guerre très bonne idée combat toujours aussi satisfaisant bref jeu vraiment bien from software reroll rajouterais quand manque encore déquilibrage coucou incantation parle celui pvp,-0.6962
45,Elden Ring,PlayStation 5,"Bah que dire… J’ai suivi l’évolution des JV depuis 1981 (bah oui…! J’ai 50ans !): du ZX81, A2600, Vectrex, NES, en passant par le MSX et autre NEC Pc engine, Etc etc… j’ai a peu près tout eu et tout tester sur toutes les plateformes..ayant la chance de vivre au Japon / USA, et d’y aller 2x / an depuis 1995… Bref je m’égare pour certains, mais il est important de savoir à qui on s’adresse selon moi ! Donc après avoir poncer DyingLight 2 et Horizon 2 sur ps5, Halo sur Série X (déception…), je trouve ce nouveau Soul en open world, ultra cool et addictif (!), et franchement ACCESSIBLE (pas comme Soul 2 !), une magnifique réussite après un Soul3 PS4 génial et beau à tomber, et le superbe Demons Soul remake de décembre 2020, aucun jeu ne lui arrive à la cheville…! Depuis Zelda en 2017, le top en RPG open world… Mais oui: il faut s’accrocher sur les 20 premières heures… apprendre les frames pas cœur comme à l’époque de Ghost’n’Goblin / Rastan ..! Et c’est qui est BON ! C’est pas la ballade onirique de Horizon (qui reste génial comme simple visite d’un monde virtuel cohérent et magnifique également.. mais dont la patte artistique est bcp bcp moins aboutie…), mais un VRAI jeux vidéo qui demande un peu de « travail » mais quelle satisfaction quand on défonce un Boss… Amen ! La messe est dite…! 😎19/20 (pour qlq petit trucs gênants…)",XGAEL07,19,bah dire jai suivi lévolution depuis 1981 bah oui jai 50ans zx81 a2600 vectrex passant msx autre nec engine etc etc jai peu près tout tout tester toutes plateformesayant chance vivre japon usa aller depuis 1995 bref mégare certains important savoir sadresse selon donc après avoir poncer dyinglight horizon ps5 halo série déception trouve nouveau soul open world ultra cool addictif franchement accessible comme soul magnifique réussite après soul3 ps4 génial beau tomber superbe demon soul remake décembre 2020 aucun jeu arrive cheville depuis zelda 2017 top rpg open world oui faut saccrocher premières heures apprendre frame cœyou are comme lépoque ghostngoblin rastan cest bon cest ballade onirique horizon reste génial comme simple visite dun monde virtuel cohérent magnifique également not patte artistique bcp bcp moins aboutie vrai jeux vidéo demande peu travail quelle satisfaction quand défonce bos amen messe dite 1920 qlq petit trucs gênants,0.8883
50,Elden Ring,PlayStation 5,"C'est pareil à la sortie de tous les From Software, je lis des commentaires de certains joueurs qui clament qu'il n'y a pas d'histoire ni de quêtes... Au même moment où je suis totalement captivé par l'intrigue des quêtes justement.
Franchement, si on a tous jouer à Elden Ring, on n'aura finalement pas joué au même jeu et c'est bien dommage mais c'est comme ça, on ne peux rien faire si les gens n'ont pas envie de faire d'efforts.
'Oui mais je ne veux pas donner des heures pour m'investir dans leur jeux mais je veux quand même le faire et comprendre.'
Pour moi c'est pareil que : 'Je ne veux pas faire les études de médecine mais je veux quand même le diplôme.'
Oui effectivement, je n'ai pas de solution à ce moment là désolé il faudrait peut-être se remettre en question.
Que faut-il donc faire pour ne pas passer à côté du travail de From Software ?
Et bien voir le jeu comme un jeu d'énigme à résoudre, une enquête, il faut être un détective à la recherche d'indice, car oui on le sait on est pas pris par la main, une fois résigné, une tout nouvelle experience magnifiquement bien pensée s'offre au joueur.
Il serait tentant effectivement de voir ce jeu comme un boss run, ou juste une map remplie d'enemies.
C'est tentant car oui, il y a tellement de soin apporter au côté 'combat' dans Elden Ring qu'on pourrait penser qu'il n'y a que ça, ce qui est déjà suffisant ! Mais non,
From Software abat à chaque jeu un travail beaucoup plus complet pour multiple experiences,  pour les amoureux d'intrigues et de lore, et les amoureux des build et strat.
Leur jeux n'est pas l'un sans l'autre, ils ont travaillés pour ça, la difficulté au mérite ne concerne pas que le combat de boss, il y a aussi une difficulté dans l'assemblage du puzzle qu'est l'histoire du jeu, qui est donc elle aussi une récompense.
D'ailleurs dans tout les jeux FS il y a plusieurs fins, deux notoires : la fin du feignant autour de 50/60h de jeu et la 'vrai'  fin qui recompense la passion investie dans le jeu, autour de 150/200h.
Elden Ring sonne comme un aboutissement de leur oeuvre, avec de léger défauts pour les habitués mais d'une intelligence démentielle pour quelqu'un qui découvre FS avec Elden Ring.",_Dynast_,20,cest pareil sortie tous from software commentaires certains joueurs clament quil dhistoire quêtes moment totalement captivé lintrigue quêtes justement franchement tous jouer elden ring naura finalement joué jeu cest bien dommage cest comme peux rien faire gen nont envie faire defforts oui veux donner heures minvestir jeux veux quand faire comprendre cest pareil veux faire études médecine veux quand diplôme oui effectivement nai solution moment désolé faudrait peutêtre remettre question fautil donc faire passer côté travail from software bien voir jeu comme jeu dénigme résoudre enquête faut être détective recherche dindice car oui sait pris main fois résigné tout nouvelle experience magnifiquement bien pensée soffre joueur tentant effectivement voir jeu comme bos run juste map remplie denemies cest tentant car oui tellement soin apporter côté combat elden ring quon pourrait penser quil déjà suffisant non from software abat chaque jeu travail beaucoup plus complet multiple experience amoureux dintrigues lore amoureux build strat jeux nest lun sans lautre travaillés difficulté mérite concerne combat bos aussi difficulté lassemblage puzzle quest lhistoire jeu donc aussi récompense dailleurs tout jeux plusieurs fin deux notoires fin feignant autour 5060h jeu vrai fin recompense passion investie jeu autour 150200h elden ring sonne comme aboutissement oeuvre léger défauts habitués dune intelligence démentielle quelquun découvre elden ring,0.9793
